"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-09","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.7","","","","1"
"2023-10","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.8","","","","1"
"2023-11","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.9","","","","1"
"2023-12","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.8","","","","1"
"2024-01","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.3","","","","1"
"2024-02","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.5","","","","1"
"2024-03","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.7","","","","1"
"2024-04","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","7.3","","","","1"
"2024-05","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","7.4","","","","1"
"2024-06","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","7.6","","","","1"
"2024-07","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","7.3","","","","1"
"2024-08","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","7.0","","","","1"
"2024-09","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.7","","","","1"
"2024-10","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.6","","","","1"
"2024-11","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.6","","","","1"
"2024-12","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278046","3.5.1.1","6.7","","","","1"
"2023-01","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.9","","","","1"
"2023-02","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.2","","","","1"
"2023-03","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.2","","","","1"
"2023-04","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.7","","","","1"
"2023-05","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.5","","","","1"
"2023-06","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.2","","","","1"
"2023-07","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.9","","","","1"
"2023-08","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.1","","","","1"
"2023-09","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.5","","","","1"
"2023-10","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.1","","","","1"
"2023-11","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.9","","","","1"
"2023-12","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.7","","","","1"
"2024-01","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.1","","","","1"
"2024-02","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.8","","","","1"
"2024-03","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","7.2","","","","1"
"2024-04","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","7.8","","","","1"
"2024-05","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","7.9","","","","1"
"2024-06","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","8.0","","","","1"
"2024-07","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","7.5","","","","1"
"2024-08","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","7.1","","","","1"
"2024-09","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.5","","","","1"
"2024-10","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.0","","","","1"
"2024-11","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","5.8","","","","1"
"2024-12","St. John's, Newfoundland and Labrador","2021S05031","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1643278047","3.5.1.2","6.0","","","","1"
"2023-01","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","66.1","","","","1"
"2023-02","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","65.2","","","","1"
"2023-03","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.4","","","","1"
"2023-04","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.1","","","","1"
"2023-05","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.4","","","","1"
"2023-06","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.5","","","","1"
"2023-07","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.7","","","","1"
"2023-08","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","65.5","","","","1"
"2023-09","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","65.5","","","","1"
"2023-10","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","65.4","","","","1"
"2023-11","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.4","","","","1"
"2023-12","St. John's, Newfoundland and Labrador","2021S05031","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1643278054","3.6.1.1","64.3","","","","1"
