"REF_DATE","GEO","DGUID","Time arriving at work (16)","Main mode of commuting (21)","Commuting duration (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Grande Prairie(CA) 850, Alta.","2021S0504850","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","972.1.11.7","22.6","","","","1"
"2021","Grande Prairie(CA) 850, Alta.","2021S0504850","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","972.1.12.7","33.6","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","987.1.1.7","19.7","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","987.1.2.7","19.6","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","987.1.11.7","23.1","","","","1"
"2021","Greater Sudbury (CMA) 580, Ont.","2021S0503580","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","987.1.12.7","32.7","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1034.1.1.7","21.5","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1034.1.2.7","21.6","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1034.1.11.7","22.8","","","","1"
"2021","Guelph (CMA) 550, Ont.","2021S0503550","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1034.1.12.7","34.6","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1065.1.1.7","21.4","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1065.1.2.7","21.0","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1065.1.11.7","25.2","","","","1"
"2021","Halifax (CMA) 205, N.S.","2021S0503205","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1065.1.12.7","35.7","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1174.1.1.7","22.4","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1174.1.2.7","22.1","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1174.1.11.7","26.3","","","","1"
"2021","Hamilton (CMA) 537, Ont.","2021S0503537","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1174.1.12.7","37.9","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1380.1.1.7","18.1","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Car, truck or van","Average commuting duration (in minutes)","","0","units","0","","1380.1.2.7","18.2","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Sustainable transportation","Average commuting duration (in minutes)","","0","units","0","","1380.1.11.7","19.1","","","","1"
"2021","Kamloops (CMA) 925, B.C.","2021S0503925","Total - Time arriving at work","Public transit","Average commuting duration (in minutes)","","0","units","0","","1380.1.12.7","28.7","","","","1"
"2021","Kelowna (CMA) 915, B.C.","2021S0503915","Total - Time arriving at work","Total - Main mode of commuting","Average commuting duration (in minutes)","","0","units","0","","1412.1.1.7","17.1","","","","1"
